lake,impact,rr_low,rr_median,rr_high,rd_low,rd_median,rd_high,n_rr_valid,n_rd_valid
sup,evap,0.5649025413113036,0.7127914723517654,0.8822919806561182,-0.027336354765334872,-0.016560839643648757,-0.0060253578978489404,2000,2000
mi,evap,0.68124259922851,0.8479540771268766,1.0599155516854404,-0.018720659383101516,-0.008233316756472243,0.002860416421004425,2000,2000
huron,evap,0.6154326172168981,0.7698235010140341,0.9633903104819804,-0.023673295702149696,-0.012891713791093953,-0.0017239935538226829,2000,2000
erie,evap,0.7502248706623569,0.943416014243555,1.1721863379370188,-0.013938651515073832,-0.0029018051689045435,0.008041839057477271,2000,2000
ont,evap,0.7145745907364353,0.8944508374888122,1.1106288125233825,-0.016672498474757883,-0.005530604816176281,0.005130335570355098,2000,2000
sup,precip,1.1152766134401622,1.400772539187509,1.7598138428641674,0.0056246720943069544,0.016927196818609838,0.028408211185792426,2000,2000
mi,precip,1.3392919529070364,1.6820279535864981,2.118270042194093,0.014304463960707713,0.025911171949900287,0.037422178472980565,2000,2000
huron,precip,1.3701176502423689,1.7314233710361782,2.184069371098668,0.015730928492206316,0.0274133431769127,0.038746693172554865,2000,2000
erie,precip,1.2851657443727378,1.6258360979590087,2.017407625536182,0.01237241584679562,0.02428937389024751,0.034847296348134583,2000,2000
ont,precip,1.4717098653807517,1.8501417998201561,2.325974519983506,0.019036645116747245,0.030482198672825735,0.04173973516328206,2000,2000
